file,strategy,equityFinal,sharpe,cagr,timestamp,sealOK,metaOK,integrityHash
omega-1761089424723.manifest.json,"Example Strategy (Baseline)",5007.28,-4.5992,-0.5178,2025-10-21T23:30:24.727Z,true,true,"29a7ef3da8fd6a942fdaba1d616d7f4a04bf625a8a05360742db3acc796fbdb5"
omega-1761089424729.manifest.json,"Example Strategy (Baseline)",5124.25,-4.3668,-0.5059,2025-10-21T23:30:24.734Z,true,true,"364b5a717580fe924b343c744175b0d7f17c95c7e230405a379eeabf1f4f9878"
omega-1761089424737.manifest.json,"Example Strategy (Baseline)",5227.17,-4.2927,-0.4954,2025-10-21T23:30:24.741Z,true,true,"9d93067eb9fc39b5de8c7cf9d8ab69807d9117c0b6790b1d54eeb9188f3c0861"
omega-1761089424742.manifest.json,"Example Strategy (Baseline)",5200.09,-4.6621,-0.4982,2025-10-21T23:30:24.746Z,true,true,"9c1e74bece022b7e1371281bd89963ecc78464dc9011aacc4c95805b9ab27ae3"
omega-1761089424749.manifest.json,"Example Strategy (Baseline)",5152.62,-4.6766,-0.5030,2025-10-21T23:30:24.754Z,true,true,"bdc8e25e38f21f17f1a39dc6decab4f911c391c5820bbb2f68e1744414dca58c"
omega-1761089424756.manifest.json,"Example Strategy (Baseline)",5445.45,-4.0752,-0.4732,2025-10-21T23:30:24.761Z,true,true,"06e033137c48ad3892c3dc06d42a018b7364284afc499bac421081967429f970"
omega-1761089424763.manifest.json,"Example Strategy (Baseline)",5053.09,-4.7998,-0.5131,2025-10-21T23:30:24.768Z,true,true,"4fbff992f5310699901a8c038bd5968fe9e208ba76a546afba669cd19bd43fd2"
omega-1761089424770.manifest.json,"Example Strategy (Baseline)",5113.38,-4.4930,-0.5070,2025-10-21T23:30:24.775Z,true,true,"c2c8a211abe70ac364ae5db8b9cafabff616cc5d7d05e2883c1d1646734c10d0"
omega-1761089424777.manifest.json,"Example Strategy (Baseline)",4889.00,-4.6938,-0.5298,2025-10-21T23:30:24.781Z,true,true,"1bfcef014511e0c2a3590d3b815921b3ce31961c491c376bbc0c4b37d6b11c6b"
omega-1761089424783.manifest.json,"Example Strategy (Baseline)",5204.36,-4.6626,-0.4977,2025-10-21T23:30:24.788Z,true,true,"572d2b7a5ee0f7b873ddc2f945cfebd42833d4ed3f73a6ea02aef7c306887e22"
omega-1761089424791.manifest.json,"Example Strategy (Baseline)",5269.91,-4.4780,-0.4911,2025-10-21T23:30:24.795Z,true,true,"81d0d474fc81f9016e6ebb7b1d7369226aa08ca57191209bb30c42c57098af18"
omega-1761089424797.manifest.json,"Example Strategy (Baseline)",5110.41,-4.6348,-0.5073,2025-10-21T23:30:24.801Z,true,true,"7a362ce95c919bacc61f2af971c473033fa505b8c8e326b961df8d652648904f"
omega-1761089424803.manifest.json,"Example Strategy (Baseline)",5102.82,-4.5051,-0.5081,2025-10-21T23:30:24.807Z,true,true,"12e64be935f2af2cd61ce3b79284c07f64818afedbc81230335f61711712b4c1"
omega-1761089424809.manifest.json,"Example Strategy (Baseline)",4871.79,-4.8012,-0.5315,2025-10-21T23:30:24.813Z,true,true,"9e298bfd8159f40df691bd8613f7911233f6b79ad27af0ea0bf35dc988c7d923"
omega-1761089424815.manifest.json,"Example Strategy (Baseline)",5356.53,-4.4558,-0.4822,2025-10-21T23:30:24.819Z,true,true,"24c0878a68560fd365479fe978a8c6cf3b2f5e9e98d9ce10bcd0c9573f58481d"
omega-1761089424821.manifest.json,"Example Strategy (Baseline)",5543.11,-3.9944,-0.4632,2025-10-21T23:30:24.825Z,true,true,"fff0d6a14866554d5af67d938294c1f50a217331cdc8b9a33cc7c4164a58e15f"
omega-1761089424827.manifest.json,"Example Strategy (Baseline)",5297.42,-4.1954,-0.4883,2025-10-21T23:30:24.832Z,true,true,"d5d2bbf8db16a9ff94711649c60291d85c0d532a27c2644d82eace1f686befda"
omega-1761089424834.manifest.json,"Example Strategy (Baseline)",4994.75,-4.7114,-0.5190,2025-10-21T23:30:24.838Z,true,true,"0a4ac29caeb025ad8fe42a81f6fd403825d5d4ef5d68a2c7b0fb2bdf1ba33082"
omega-1761089424840.manifest.json,"Example Strategy (Baseline)",4995.56,-4.8027,-0.5190,2025-10-21T23:30:24.844Z,true,true,"84c8e2f9d36cae06fc232a14f5162fb31909fc783292454aa4e2c103f1530e08"
omega-1761089424846.manifest.json,"Example Strategy (Baseline)",5222.35,-4.4727,-0.4959,2025-10-21T23:30:24.850Z,true,true,"35e7c883d12c45de596dd1caf455158c4d45ea67f822ba47fefa3ee145d2dd49"
omega-1761089424852.manifest.json,"Example Strategy (Baseline)",5097.91,-4.3550,-0.5086,2025-10-21T23:30:24.855Z,true,true,"fa104b5849ef1b5168ceb1dc414491f681f4d7c5b80b05274dd3d9d8268a2614"
omega-1761089424858.manifest.json,"Example Strategy (Baseline)",4771.40,-4.9602,-0.5417,2025-10-21T23:30:24.862Z,true,true,"c1a2063a1a1cfef5a8e07a8ffbed497b9e01c3a0e0d33c5a923c8c96e2f22925"
omega-1761089424864.manifest.json,"Example Strategy (Baseline)",5004.82,-4.6099,-0.5180,2025-10-21T23:30:24.868Z,true,true,"d999cc162a4574303ecd9fa172d58a782adfa7caa6739a95531f0fb404ae85e6"
omega-1761089424870.manifest.json,"Example Strategy (Baseline)",4896.45,-4.9854,-0.5290,2025-10-21T23:30:24.875Z,true,true,"03a1351a9aa4bf05336823694b73cdcc6fd22e769b12c7346afe1a9175b5d2d0"
omega-1761089424878.manifest.json,"Example Strategy (Baseline)",5220.96,-4.4141,-0.4960,2025-10-21T23:30:24.881Z,true,true,"805f2e7ddd60e98dae9ba37ad0cfd717315934a68aac6e4bd453d6a10802caa9"
omega-1761089424883.manifest.json,"Example Strategy (Baseline)",5138.72,-4.5057,-0.5044,2025-10-21T23:30:24.887Z,true,true,"b24be7732047aaaccc92ed8e196c12bfcd21fd38d876d50456ba9cb7899ad35e"
omega-1761089424889.manifest.json,"Example Strategy (Baseline)",5107.69,-4.6351,-0.5076,2025-10-21T23:30:24.894Z,true,true,"d5b25cdd53a1378c91452f3c750b61224a0c4571d4234dedeb91b0952601b358"
omega-1761089424896.manifest.json,"Example Strategy (Baseline)",5287.00,-4.3476,-0.4893,2025-10-21T23:30:24.899Z,true,true,"097555b6a54421032d1fd4c4bd30d0d8046fa50b8c69700a227f9653c8d73efe"
omega-1761089424901.manifest.json,"Example Strategy (Baseline)",5262.00,-4.4475,-0.4919,2025-10-21T23:30:24.905Z,true,true,"609463ac2c56544c8bc3ca94081a819364a76d5b84063aff053f4f499d909f17"
omega-1761089424908.manifest.json,"Example Strategy (Baseline)",5283.02,-4.3230,-0.4897,2025-10-21T23:30:24.911Z,true,true,"da2470c1a7f3503df87e233f06b63c713a75e52d8093502a40684c89cbcfed43"
omega-1761089424913.manifest.json,"Example Strategy (Baseline)",5122.89,-4.5904,-0.5060,2025-10-21T23:30:24.917Z,true,true,"d5b51347b5746dbcd51e8eaae79a50776bc69affe90c5006d594bcfcace5df54"
omega-1761089424919.manifest.json,"Example Strategy (Baseline)",4983.80,-4.7935,-0.5201,2025-10-21T23:30:24.923Z,true,true,"886cd7baff40bbe478ebf8a3b943a758acc328e4e005f24643ffe28e7b70c2a1"
omega-1761089424925.manifest.json,"Example Strategy (Baseline)",5167.93,-4.5239,-0.5014,2025-10-21T23:30:24.929Z,true,true,"26592de417bccf8288878ff5980f37cd732628ec2e2d2b9375af8dafe1edd697"
omega-1761089424931.manifest.json,"Example Strategy (Baseline)",5262.78,-4.3033,-0.4918,2025-10-21T23:30:24.936Z,true,true,"bd8c3f7c1b025f4dec73f53f729eeb39ea26e92676df125b56ff917075813317"
omega-1761089424938.manifest.json,"Example Strategy (Baseline)",5108.34,-4.4307,-0.5075,2025-10-21T23:30:24.942Z,true,true,"dfcbe10f270ccb96e2a5a3a5f1b228cc88278133f1050ea7d65e96f4a4e36679"
omega-1761089424944.manifest.json,"Example Strategy (Baseline)",4917.52,-4.7705,-0.5269,2025-10-21T23:30:24.948Z,true,true,"af2485744fc5a6965db9aef00755fc6fc1c90e521fc33842267e9d0a0f997eff"
omega-1761089424951.manifest.json,"Example Strategy (Baseline)",5208.12,-4.4963,-0.4973,2025-10-21T23:30:24.956Z,true,true,"70a247a818a6fccfcac5be08156fc1f5fecca96a686ffaf869dfaeb857efc1c1"
omega-1761089424958.manifest.json,"Example Strategy (Baseline)",5008.89,-4.6743,-0.5176,2025-10-21T23:30:24.962Z,true,true,"dc1d626b47b251aa1a9d1740b26d5d240586a4749e089ee4b5174890969818b9"
omega-1761089424966.manifest.json,"Example Strategy (Baseline)",5024.73,-4.9639,-0.5160,2025-10-21T23:30:24.970Z,true,true,"242edbc03fcdade55c60c520027e6718ff79ab44e829bc20952c4da3e0d7e86f"
omega-1761089424972.manifest.json,"Example Strategy (Baseline)",5017.24,-4.5134,-0.5167,2025-10-21T23:30:24.976Z,true,true,"cd93360ac83632b8b9041a8de66028135d5440670ad9a74b7c7e050c1671e161"
omega-1761089424979.manifest.json,"Example Strategy (Baseline)",4898.80,-4.7395,-0.5288,2025-10-21T23:30:24.983Z,true,true,"b46cd9ca24de67eb2843524de18561fac8c8bfd51ac90cc28c58ea5cb799d5bd"
omega-1761089424985.manifest.json,"Example Strategy (Baseline)",5382.62,-4.1382,-0.4796,2025-10-21T23:30:24.989Z,true,true,"520ac2ea0bd5779887884f9f4099783f77f3ee224581bf4bd60298b59517dada"
omega-1761089424992.manifest.json,"Example Strategy (Baseline)",5011.87,-4.6060,-0.5173,2025-10-21T23:30:24.996Z,true,true,"027b8e25772be8da725a93b7de5fb9352da9695067716c82d959f4de7a3344bd"
omega-1761089424998.manifest.json,"Example Strategy (Baseline)",5030.99,-4.6271,-0.5154,2025-10-21T23:30:25.002Z,true,true,"9d7a2d2ba07f3eda8d28775a9c3b80b4a50089d49ebfcab631ac557fc6d78a67"
omega-1761089425005.manifest.json,"Example Strategy (Baseline)",4733.74,-5.0457,-0.5455,2025-10-21T23:30:25.008Z,true,true,"83048d83704cb16d2df090cafdf61ed96ae413320837c157410688f52ea3b3db"
omega-1761089425010.manifest.json,"Example Strategy (Baseline)",5015.99,-4.6584,-0.5169,2025-10-21T23:30:25.015Z,true,true,"b5ca8cf9e12dffa6449671cd56540987fc35fdc86051ff7cc4ad18a0fad34ceb"
omega-1761089425017.manifest.json,"Example Strategy (Baseline)",5085.05,-4.6223,-0.5099,2025-10-21T23:30:25.021Z,true,true,"9970ffa035b804be25ed74eba7f948adffa2bc30fd4f959ef00c989c98c2eb3f"
omega-1761089425024.manifest.json,"Example Strategy (Baseline)",5424.72,-3.9072,-0.4753,2025-10-21T23:30:25.027Z,true,true,"46f2b4d583c3202a2f14470ad2ba0d0f4ea465ae906e78387578d90155505712"
omega-1761089425029.manifest.json,"Example Strategy (Baseline)",5234.44,-4.4376,-0.4947,2025-10-21T23:30:25.034Z,true,true,"71274c13f9bb836677566f2be48443247aa94d86f3150c55dc3f801d14e2cefa"
omega-1761089425036.manifest.json,"Example Strategy (Baseline)",5148.17,-4.6105,-0.5034,2025-10-21T23:30:25.040Z,true,true,"d57e7845263d8e4fcc1dc7aa82e7cadf70acbe0e04d13b16ddae09b178cf400d"
omega-1761089425042.manifest.json,"Example Strategy (Baseline)",5004.09,-4.7764,-0.5181,2025-10-21T23:30:25.046Z,true,true,"37c3d2d91e06d6c5b8a7feaae3e336da5ca3f4487032e66e132f4a17e598629a"
omega-1761089425048.manifest.json,"Example Strategy (Baseline)",5274.74,-4.4570,-0.4906,2025-10-21T23:30:25.052Z,true,true,"f2e316268a7741477a1cd6a79fee59eb3b8fe05ed6d1fde93befd233977fc2b6"
omega-1761089425054.manifest.json,"Example Strategy (Baseline)",4926.50,-4.7880,-0.5260,2025-10-21T23:30:25.058Z,true,true,"74519e28ed9624cc586967bdf8156331db6628c32dabe03e4fb10652b5e9b3d4"
omega-1761089425060.manifest.json,"Example Strategy (Baseline)",4956.10,-4.8610,-0.5230,2025-10-21T23:30:25.065Z,true,true,"661745f23ac1e948d5117cb537953f0e6aa5be2736cbf6702867314fe7740d93"
omega-1761089425067.manifest.json,"Example Strategy (Baseline)",5058.18,-4.7245,-0.5126,2025-10-21T23:30:25.071Z,true,true,"3ba8c7ab46588d6a3a0878bbc66ae46701111541b09787b3496e777394f4f9fe"
