_source,_ts,strategy,params,Sharpe,CAGR,MaxDD,Trades,WinRate,AvgTrade,FeeBps,EquityFinal,RobustScore,Pass
2025-10-23T20-26-35-118Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-118Z,Example Strategy (Baseline),{},-4.833518393470757,-0.5110009578593193,0.5266834967363111,,,,,5073.82834,,
2025-10-23T20-26-35-125Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-125Z,Example Strategy (Baseline),{},-4.372655546508405,-0.5026080456028562,0.5236487047769278,,,,,5156.38396,,
2025-10-23T20-26-35-134Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-134Z,Example Strategy (Baseline),{},-4.363591428599517,-0.5039185383524256,0.5250364815594138,,,,,5143.49826,,
2025-10-23T20-26-35-142Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-142Z,Example Strategy (Baseline),{},-4.596478584891492,-0.5098766772933798,0.5237570153275637,,,,,5084.89137,,
2025-10-23T20-26-35-149Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-149Z,Example Strategy (Baseline),{},-4.829167766159796,-0.5275820699560843,0.5435411259634892,,,,,4910.51448,,
2025-10-23T20-26-35-157Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-157Z,Example Strategy (Baseline),{},-4.78549415474135,-0.5229765628342088,0.5350345085516702,,,,,4955.90515,,
2025-10-23T20-26-35-165Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-165Z,Example Strategy (Baseline),{},-5.168159457621412,-0.5486183862454455,0.5553039702682714,,,,,4702.8921,,
2025-10-23T20-26-35-172Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-172Z,Example Strategy (Baseline),{},-4.575871776474897,-0.5057549026426014,0.5240193712008532,,,,,5125.43886,,
2025-10-23T20-26-35-180Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-180Z,Example Strategy (Baseline),{},-4.599169224322252,-0.5177608537869047,0.5407442331888606,,,,,5007.28253,,
2025-10-23T20-26-35-188Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-188Z,Example Strategy (Baseline),{},-4.366810703963383,-0.5058752748555269,0.5199920368681907,,,,,5124.25496,,
2025-10-23T20-26-35-196Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-196Z,Example Strategy (Baseline),{},-4.292694664308989,-0.49540563280008354,0.5097795625554288,,,,,5227.17209,,
2025-10-23T20-26-35-203Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-203Z,Example Strategy (Baseline),{},-4.662143878325822,-0.4981616563405066,0.5136054590042078,,,,,5200.09101,,
2025-10-23T20-26-35-210Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-210Z,Example Strategy (Baseline),{},-4.676592756634262,-0.502990966476311,0.5201593762035286,,,,,5152.61899,,
2025-10-23T20-26-35-218Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-218Z,Example Strategy (Baseline),{},-4.075157652013009,-0.47316324007446753,0.4943773528061955,,,,,5445.45346,,
2025-10-23T20-26-35-226Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-226Z,Example Strategy (Baseline),{},-4.799836388797655,-0.5131077230469527,0.5283833850741134,,,,,5053.09403,,
2025-10-23T20-26-35-233Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-233Z,Example Strategy (Baseline),{},-4.492972582490693,-0.506981026004345,0.5186471756542465,,,,,5113.37884,,
2025-10-23T20-26-35-242Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-242Z,Example Strategy (Baseline),{},-4.693756371736019,-0.5297642994540013,0.5390049053071928,,,,,4888.99904,,
2025-10-23T20-26-35-251Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-251Z,Example Strategy (Baseline),{},-4.662626696588033,-0.4977269199828894,0.5165282162957382,,,,,5204.3633,,
2025-10-23T20-26-35-260Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-260Z,Example Strategy (Baseline),{},-4.478014836054116,-0.49105451193819794,0.5089154809173155,,,,,5269.91131,,
2025-10-23T20-26-35-269Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-269Z,Example Strategy (Baseline),{},-4.634838763715779,-0.5072831319864195,0.5240751939009568,,,,,5110.40712,,
2025-10-23T20-26-35-276Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-276Z,Example Strategy (Baseline),{},-4.505065545264154,-0.5080546121013341,0.5226623475757453,,,,,5102.81789,,
2025-10-23T20-26-35-285Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-285Z,Example Strategy (Baseline),{},-4.801193860362861,-0.5315089484613863,0.5422010081568545,,,,,4871.79417,,
2025-10-23T20-26-35-294Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-294Z,Example Strategy (Baseline),{},-4.455784686198188,-0.48223003233692197,0.4956291877682085,,,,,5356.53275,,
2025-10-23T20-26-35-300Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-300Z,Example Strategy (Baseline),{},-3.9944377921332497,-0.4631967018082277,0.4852048042359386,,,,,5543.10725,,
2025-10-23T20-26-35-307Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-307Z,Example Strategy (Baseline),{},-4.1954188346960235,-0.4882531571759702,0.5168859270194535,,,,,5297.41785,,
2025-10-23T20-26-35-315Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-315Z,Example Strategy (Baseline),{},-4.711421881552493,-0.5190333177425538,0.5288818045962458,,,,,4994.75077,,
2025-10-23T20-26-35-322Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-322Z,Example Strategy (Baseline),{},-4.802652646737396,-0.5189511889970286,0.5315948246718093,,,,,4995.55966,,
2025-10-23T20-26-35-330Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-330Z,Example Strategy (Baseline),{},-4.472657143578041,-0.49589658942543013,0.5148293574858459,,,,,5222.34844,,
